Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surfaces agricoles (m2),Autres surfaces (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Nature,Décès ou bâtiments touchés,Nombre de décès,Nombre de bâtiments totalement détruits,Nombre de bâtiments partiellement détruits,Précision de la donnée
1973,1882,83,83015,Bauduen,1973-02-23 18:15:00,20000,9400,9600,0,,,,,,1000,,1.0,Involontaire (travaux),,,,,
1973,15,06,06147,Tourrette-Levens,1973-02-24 10:55:00,20000,9400,9600,0,,,,,,1000,,5.0,,,,,,
1973,1096,2B,2B313,San-Nicolao,1973-02-24 12:00:00,10000,4700,4800,0,,,,,,500,,,,,,,,
1973,16,06,06105,Roquefort-les-Pins,1973-02-24 12:44:00,10000,4700,4800,0,,,,,,500,,3.0,,,,,,
1973,1883,83,83029,Callian,1973-02-24 13:22:00,75000,35250,36000,0,,,,,,3750,,5.0,Accidentelle,,,,,
1973,1884,83,83055,Fayence,1973-02-24 14:02:00,6000,2820,2880,0,,,,,,300,,1.0,Involontaire (travaux),,,,,
1973,1885,83,83028,Callas,1973-02-24 14:24:00,1000,470,480,0,,,,,,50,,1.0,,,,,,
1973,1651,34,34163,Montarnaud,1973-02-24 17:00:00,2000,940,960,0,,,,,,100,,1.0,,,,,,
1973,1097,2A,2A276,Serra-di-Ferro,1973-02-24 19:00:00,10000,4700,4800,0,,,,,,500,,,,,,,,
1973,17,06,06105,Roquefort-les-Pins,1973-02-24 20:05:00,10000,4700,4800,0,,,,,,500,,5.0,,,,,,
1973,22,06,06106,Roquesteron,1973-02-25 12:30:00,320000,150400,153600,0,,,,,,16000,,1.0,Involontaire (particulier),,,,,
1973,50,06,06070,Gréolières,1973-02-25 15:00:00,40000,18800,19200,0,,,,,,2000,,1.0,Involontaire (travaux),,,,,
1973,1886,83,83138,Tourrettes,1973-02-25 15:13:00,10000,4700,4800,0,,,,,,500,,1.0,,,,,,
1973,23,06,06069,Grasse,1973-02-26 17:05:00,10000,4700,4800,0,,,,,,500,,1.0,Involontaire (travaux),,,,,
1973,1098,2A,2A004,Ajaccio,1973-02-26 18:40:00,10000,4700,4800,0,,,,,,500,,,,,,,,
1973,79,06,06023,Breil-sur-Roya,1973-02-27 13:30:00,950000,446500,456000,0,,,,,,47500,,5.0,Involontaire (travaux),,,,,
1973,1887,83,83001,Les Adrets-de-l'Estérel,1973-02-27 14:07:00,1000,470,480,0,,,,,,50,,4.0,Involontaire (travaux),,,,,
1973,1888,83,83030,Camps-la-Source,1973-02-27 15:11:00,2000,940,960,0,,,,,,100,,1.0,Involontaire (travaux),,,,,
1973,1889,83,83121,Salernes,1973-02-27 16:52:00,3000,1410,1440,0,,,,,,150,,5.0,Involontaire (travaux),,,,,
1973,1890,83,83012,Barjols,1973-02-27 17:40:00,10000,4700,4800,0,,,,,,500,,1.0,Involontaire (travaux),,,,,
1973,1891,83,83154,Saint-Antonin-du-Var,1973-02-27 18:15:00,30000,14100,14400,0,,,,,,1500,,1.0,Involontaire (travaux),,,,,
1973,2255,84,84065,Lauris,1973-02-27 19:00:00,20000,9400,9600,0,,,,,,1000,,1.0,Involontaire (travaux),,,,,
1973,1652,34,34019,Avène,1973-02-28 12:00:00,805000,378350,386400,0,,,,,,40250,,1.0,Involontaire (travaux),,,,,
1973,51,06,06154,Valderoure,1973-02-28 13:00:00,30000,14100,14400,0,,,,,,1500,,1.0,,,,,,
1973,1099,2B,2B352,Ville-di-Paraso,1973-02-28 21:00:00,20000,9400,9600,0,,,,,,1000,,,,,,,,
1973,1893,83,83038,Châteaudouble,1973-03-01 12:50:00,20000,9400,9600,0,,,,,,1000,,1.0,,,,,,
1973,2257,84,84038,Cheval-Blanc,1973-03-01 13:15:00,20000,9400,9600,0,,,,,,1000,,1.0,,,,,,
1973,41,06,06157,Vence,1973-03-01 13:30:00,30000,14100,14400,0,,,,,,1500,,1.0,Involontaire (travaux),,,,,
1973,2256,84,84090,Peypin-d'Aigues,1973-03-01 14:20:00,1000,470,480,0,,,,,,50,,1.0,Malveillance,,,,,
1973,1101,2B,2B039,Bisinchi,1973-03-01 14:50:00,10000,4700,4800,0,,,,,,500,,,,,,,,
1973,2275,84,84133,La Tour-d'Aigues,1973-03-01 16:00:00,1000,470,480,0,,,,,,50,,1.0,,,,,,
1973,73,06,06089,Opio,1973-03-01 20:50:00,5000,2350,2400,0,,,,,,250,,5.0,,,,,,
1973,28,06,06023,Breil-sur-Roya,1973-03-02 11:00:00,2000000,940000,960000,0,,,,,,100000,,1.0,Involontaire (travaux),,,,,
1973,1894,83,83141,Trans-en-Provence,1973-03-02 12:00:00,10000,4700,4800,0,,,,,,500,,5.0,,,,,,
1973,1895,83,83003,Ampus,1973-03-02 14:00:00,20000,9400,9600,0,,,,,,1000,,1.0,Involontaire (travaux),,,,,
1973,35,06,06035,Castellar,1973-03-02 15:00:00,40000,18800,19200,0,,,,,,2000,,1.0,Involontaire (particulier),,,,,
1973,1897,83,83073,Le Luc,1973-03-02 15:30:00,20000,9400,9600,0,,,,,,1000,,1.0,,,,,,
1973,1907,83,83077,Méounes-lès-Montrieux,1973-03-02 15:30:00,10000,4700,4800,0,,,,,,500,,1.0,Involontaire (particulier),,,,,
1973,1896,83,83092,Pignans,1973-03-02 15:30:00,50000,23500,24000,0,,,,,,2500,,1.0,Involontaire (travaux),,,,,
1973,20,06,06088,Nice,1973-03-02 16:15:00,40000,18800,19200,0,,,,,,2000,,1.0,Involontaire (travaux),,,,,
1973,74,06,06069,Grasse,1973-03-02 18:20:00,3000,1410,1440,0,,,,,,150,,1.0,,,,,,
1973,1898,83,83146,La Verdière,1973-03-02 19:00:00,40000,18800,19200,0,,,,,,2000,,3.0,,,,,,
1973,576,13,13011,Les Baux-de-Provence,1973-03-02 20:21:00,50000,23500,24000,0,,,,,,2500,,1.0,Involontaire (particulier),,,,,
1973,71,06,06038,Châteauneuf-Grasse,1973-03-03 10:08:00,20000,9400,9600,0,,,,,,1000,,1.0,,,,,,
1973,1654,34,34071,Ceilhes-et-Rocozels,1973-03-03 13:00:00,300000,141000,144000,0,,,,,,15000,,1.0,Involontaire (travaux),,,,,
1973,1991,83,83130,Solliès-Pont,1973-03-03 13:50:00,5000,2350,2400,0,,,,,,250,,1.0,Involontaire (travaux),,,,,
1973,72,06,06069,Grasse,1973-03-03 13:55:00,350000,164500,168000,0,,,,,,17500,,1.0,,,,,,
1973,1659,34,34116,Grabels,1973-03-03 14:08:00,12000,5640,5760,0,,,,,,600,,1.0,,,,,,
1973,1909,83,83126,La Seyne-sur-Mer,1973-03-03 14:27:00,1000,470,480,0,,,,,,50,,1.0,Involontaire (particulier),,,,,
1973,36,06,06067,Gorbio,1973-03-03 14:50:00,80000,37600,38400,0,,,,,,4000,,1.0,Involontaire (particulier),,,,,
1973,1899,83,83007,Aups,1973-03-03 15:07:00,30000,14100,14400,0,,,,,,1500,,6.0,Involontaire (particulier),,,,,
1973,1900,83,83055,Fayence,1973-03-03 15:36:00,10000,4700,4800,0,,,,,,500,,1.0,Involontaire (travaux),,,,,
1973,1901,83,83083,Montfort-sur-Argens,1973-03-03 15:40:00,5000,2350,2400,0,,,,,,250,,1.0,Involontaire (travaux),,,,,
1973,561,13,13001,Aix-en-Provence,1973-03-03 16:18:00,20000,9400,9600,0,,,,,,1000,,1.0,Involontaire (travaux),,,,,
1973,68,06,06069,Grasse,1973-03-03 16:20:00,2000,940,960,0,,,,,,100,,1.0,,,,,,
